cold start problem,high computational cost,lack of annotated datasets,language diversity challenges,limited labeled data,poor scalability of traditional models,sample inefficiency,scalability issues,unstable training,urban traffic congestion
1,1,0,1,0,1,0,1,0,1
0,1,0,0,1,0,0,0,1,1
1,0,0,1,0,0,0,0,1,0
0,1,0,1,0,0,1,0,1,1
0,0,0,1,0,1,0,0,1,0
1,1,1,0,0,0,0,0,1,0
1,0,1,0,1,0,1,1,1,1
1,0,0,1,1,0,0,1,1,0
1,0,0,0,0,1,0,1,1,1
1,1,0,0,0,1,1,0,0,1
0,0,0,1,1,1,1,1,0,0
1,0,1,1,0,0,1,0,0,1
0,1,1,1,0,1,0,1,1,1
0,0,1,1,0,1,1,1,1,0
0,1,0,0,1,1,0,1,0,1
1,1,1,0,1,1,1,1,1,1
1,1,1,0,0,1,1,0,0,0
0,1,0,0,0,1,0,0,0,1
0,0,0,0,1,1,0,1,0,1
0,1,0,0,0,0,0,1,1,1
0,1,0,0,1,0,1,1,0,0
0,1,1,0,0,1,1,1,0,1
1,0,0,0,1,1,1,0,1,1
0,0,1,0,1,0,0,1,0,0
1,0,0,0,1,0,1,1,1,1
1,0,1,0,1,1,0,1,0,1
0,0,1,1,0,1,0,1,0,0
1,1,1,0,1,1,0,1,1,1
0,0,0,1,0,1,0,0,0,0
1,1,0,0,1,1,0,1,0,1
0,0,0,0,1,0,0,0,0,0
1,1,1,0,0,0,0,1,1,0
1,0,1,1,0,1,0,1,1,1
0,1,1,0,0,1,0,0,0,1
1,1,1,0,0,1,1,0,1,0
1,0,1,0,1,1,0,0,0,1
1,1,1,0,0,0,0,1,1,1
0,0,0,0,0,0,1,1,0,1
0,1,1,1,1,0,0,0,1,0
1,0,1,0,0,1,0,1,1,0
0,1,0,1,1,0,1,0,0,0
0,0,0,0,1,0,1,0,0,0
1,1,0,0,1,1,0,1,1,1
0,0,0,0,0,1,1,0,1,1
1,1,1,1,0,0,1,1,1,1
0,1,0,0,0,1,0,0,0,1
1,1,0,0,0,1,0,1,1,0
1,0,1,0,1,1,1,0,0,1
1,0,0,1,1,0,0,1,0,1
0,0,0,0,1,0,1,0,0,0
1,1,0,0,1,1,1,0,1,1
1,1,1,0,1,1,0,0,1,0
0,1,1,1,0,1,0,0,1,1
1,1,0,0,1,1,1,0,0,1
0,0,0,0,1,1,1,0,0,1
1,1,0,1,1,0,1,1,0,1
0,0,1,1,1,0,1,0,1,1
0,1,1,0,1,0,0,1,0,1
0,1,1,1,0,0,0,1,0,1
0,0,0,0,1,1,0,1,0,1
1,0,1,0,0,1,1,1,1,1
1,1,1,0,0,0,0,1,0,1
0,1,0,1,0,0,1,0,1,0
0,1,0,0,0,1,0,0,0,0
0,1,1,1,0,1,1,1,0,1
1,0,0,1,0,0,0,0,0,0
0,0,0,1,1,1,0,1,1,0
0,1,1,1,0,1,0,1,1,0
1,1,0,1,1,1,0,1,0,0
0,0,1,0,1,1,0,0,1,0
0,0,1,1,0,1,1,1,0,1
0,1,0,1,1,1,1,1,1,0
0,0,1,1,1,0,0,0,0,1
1,1,1,0,1,0,0,0,1,1
1,0,1,0,0,0,1,0,1,1
0,1,0,1,1,0,0,0,1,1
1,1,0,1,0,0,1,1,0,1
0,0,0,0,1,0,0,0,1,0
1,1,1,1,1,1,1,0,1,0
0,1,0,1,1,0,1,0,0,0
1,0,0,0,1,1,1,1,0,1
0,1,0,0,1,1,0,0,1,1
0,0,1,1,1,1,0,1,0,1
0,1,0,0,0,1,1,1,1,0
0,0,0,0,0,1,1,0,0,1
1,1,0,0,1,1,1,1,0,1
0,1,0,1,1,1,0,1,1,0
1,1,0,0,0,1,1,1,0,0
0,0,1,0,0,1,1,1,0,1
0,0,1,1,0,1,1,1,1,1
0,0,0,1,1,1,0,0,1,0
1,1,0,0,1,1,0,1,0,0
1,1,1,1,0,0,1,0,1,1
0,0,0,0,1,0,1,0,0,1
0,0,1,0,0,1,1,0,1,1
1,0,0,1,0,1,0,0,0,1
1,1,0,1,1,1,1,1,0,1
1,0,0,1,1,0,0,0,1,0
0,0,1,1,1,0,1,1,1,0
1,0,1,0,0,0,1,1,0,1
1,0,0,1,1,1,1,0,0,0
0,1,1,0,0,0,0,1,0,0
0,1,1,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,1,1
1,1,0,1,0,1,1,1,0,1
0,1,1,1,1,1,1,0,1,0
0,0,0,0,0,1,0,0,0,0
0,1,1,0,0,1,0,0,1,1
0,1,0,0,0,0,1,0,0,1
1,1,0,0,1,1,1,1,1,0
1,0,1,1,0,0,0,1,1,1
1,0,0,0,0,0,0,1,1,1
1,1,1,0,1,1,0,1,1,0
0,0,0,0,0,1,1,1,0,1
1,0,1,1,0,1,1,0,1,0
0,1,0,1,1,1,0,1,0,1
0,0,1,0,0,0,0,0,1,1
1,1,0,1,0,1,1,0,1,0
1,1,1,0,0,0,1,1,1,0
1,0,1,0,0,0,0,0,0,1
1,0,1,0,0,0,0,0,0,0
1,0,0,1,1,1,1,1,0,1
0,0,1,1,0,1,0,0,0,0
1,0,0,1,1,0,1,0,0,1
0,1,1,1,0,1,1,0,1,0
1,0,1,0,0,0,1,0,0,1
1,1,1,1,0,1,0,1,1,0
0,1,1,0,0,0,1,1,1,1
0,0,0,1,0,0,1,1,1,1
1,1,0,1,1,1,1,0,0,0
0,1,0,1,1,1,0,1,0,0
0,0,0,0,0,0,1,1,0,0
0,1,1,0,0,0,0,1,1,0
1,0,1,1,0,1,1,0,1,1
1,1,0,0,1,1,0,0,1,1
0,1,0,1,0,0,1,1,0,0
0,1,0,1,0,0,1,0,1,1
0,0,0,0,1,1,1,1,1,0
0,0,0,1,0,1,0,0,0,0
0,0,1,0,1,0,0,0,1,0
0,0,1,0,0,0,0,0,0,0
0,1,1,1,0,0,0,1,0,1
1,1,1,0,1,1,1,0,1,1
1,0,1,0,0,0,1,0,1,0
0,1,0,0,0,0,0,0,0,0
0,1,1,1,1,1,1,1,1,0
1,1,1,1,0,0,1,1,0,1
0,0,1,0,1,1,0,0,1,0
1,0,0,1,1,0,0,0,0,1
1,1,1,1,0,1,0,1,0,0
0,1,0,0,1,0,1,0,0,1
1,1,0,1,0,1,1,0,1,1
1,1,1,0,1,0,0,1,0,0
1,1,0,1,1,0,1,1,0,1
0,0,1,1,0,1,0,0,0,0
1,1,1,1,1,0,1,1,0,1
0,0,0,1,0,1,0,0,0,1
0,1,0,0,0,1,1,0,0,0
1,1,0,0,0,1,1,0,1,1
0,0,1,0,1,0,0,1,1,0
0,0,1,1,0,0,0,0,0,1
1,0,0,0,0,1,1,0,1,1
1,1,0,1,0,0,0,1,1,1
1,1,1,1,0,1,1,1,0,0
0,0,0,0,1,1,1,1,0,0
1,1,0,0,0,1,0,1,0,0
1,1,1,1,1,0,1,1,1,1
0,0,0,0,1,0,1,1,0,0
0,1,0,1,0,0,1,1,0,0
0,1,0,1,0,0,0,1,1,1
0,0,0,0,1,0,1,0,0,0
1,0,0,0,0,0,1,1,0,0
1,0,1,1,0,0,1,0,0,0
0,1,1,0,1,0,0,1,1,1
1,0,1,0,1,1,1,1,1,1
1,1,0,0,0,0,1,0,1,0
1,0,0,1,1,0,0,0,0,0
1,0,1,0,0,1,0,0,1,1
1,0,0,0,0,1,0,1,0,1
0,1,0,1,0,1,0,0,0,1
0,0,1,0,1,1,0,0,1,0
0,0,0,0,0,1,1,0,0,0
1,1,1,1,0,1,0,1,0,1
1,1,1,1,0,1,0,0,1,0
1,1,1,0,1,1,1,1,0,1
0,0,0,0,0,0,0,1,1,0
0,0,1,0,0,1,1,0,1,0
0,0,1,0,1,0,1,1,1,0
1,0,1,0,1,1,1,1,0,0
1,1,1,1,0,0,0,1,0,1
0,1,1,0,0,1,0,1,1,0
0,1,1,1,0,1,1,0,1,1
0,1,0,1,1,0,0,1,1,1
1,0,1,1,0,1,0,0,1,0
1,1,1,1,1,1,1,1,0,1
1,1,0,1,1,1,0,1,1,0
1,1,1,1,0,1,1,1,0,1
1,0,0,0,0,0,1,1,0,0
1,1,0,1,1,0,1,1,0,1
1,1,0,0,0,1,1,0,0,0
0,0,1,0,0,0,1,1,0,0
0,1,0,0,1,0,0,1,1,1
0,1,1,1,0,0,1,0,0,0
1,0,1,1,0,0,0,0,1,1
0,1,1,1,0,1,0,0,1,0
0,0,1,1,1,1,1,0,0,1
0,0,1,0,0,1,0,0,1,0
1,0,1,1,1,0,0,1,1,0
0,0,1,1,0,1,1,0,1,0
0,0,0,1,1,1,1,0,0,0
0,0,1,0,1,0,1,1,1,1
0,1,1,1,0,1,0,1,0,1
1,0,1,1,1,0,1,1,1,0
0,0,0,0,1,0,0,1,1,1
1,1,0,1,1,1,0,1,1,1
1,1,0,0,0,1,1,1,1,1
0,0,1,1,0,1,1,0,0,1
0,1,0,1,1,0,0,1,0,1
0,0,0,1,1,1,0,1,1,1
1,0,1,1,0,1,1,1,0,0
0,0,1,0,1,0,0,1,1,0
1,0,1,1,0,1,0,1,0,0
0,1,0,1,1,0,1,1,0,1
0,0,0,0,0,0,1,1,0,1
0,1,1,1,1,1,0,1,1,0
1,0,0,1,1,1,1,1,1,1
1,1,0,1,0,1,1,0,1,1
0,1,1,0,0,1,0,1,0,0
1,0,0,0,1,1,0,1,1,1
1,0,1,0,1,1,0,0,0,0
0,1,0,1,1,1,1,0,0,1
1,0,0,1,1,0,1,1,0,1
0,1,0,1,1,0,1,1,0,1
0,0,0,1,0,0,1,0,1,0
0,1,0,0,1,1,1,1,0,1
1,1,1,1,0,1,1,1,0,1
0,1,0,0,1,0,1,1,1,0
1,1,1,0,1,1,0,1,1,0
1,1,0,0,1,1,0,1,0,0
0,1,1,1,1,0,0,0,1,0
1,0,1,1,0,1,0,0,1,0
0,0,1,1,0,0,0,0,0,0
1,0,0,1,0,0,1,0,0,1
1,0,1,0,1,1,0,1,1,1
0,1,1,0,0,1,0,0,0,0
0,0,0,0,1,0,1,1,0,0
1,0,0,0,1,0,0,1,0,0
0,1,0,0,0,0,0,0,1,1
0,0,0,0,0,0,1,1,0,0
1,1,1,1,1,1,0,1,0,0
1,1,0,1,0,1,1,1,0,0
1,1,0,1,1,0,1,0,1,0
0,1,1,0,0,1,0,1,0,0
0,0,1,1,1,0,0,0,1,1
0,0,0,0,0,1,1,1,1,1
0,0,1,0,1,1,1,1,0,0
1,1,1,0,0,0,1,1,1,0
1,1,1,0,0,0,1,0,1,1
1,0,1,1,0,1,0,0,1,0
1,1,1,1,1,1,1,0,0,1
0,1,0,0,0,0,0,0,1,1
0,0,1,0,0,1,0,0,1,0
1,0,0,0,1,1,1,0,1,1
0,0,0,0,1,1,1,1,1,1
1,0,0,1,0,0,1,1,0,1
1,0,0,1,0,0,1,1,0,1
1,1,0,1,0,0,1,0,1,1
1,0,0,0,1,0,0,1,0,1
1,1,0,1,0,0,0,1,0,0
0,1,0,1,1,1,1,1,0,1
1,1,1,1,1,1,1,1,0,1
0,0,1,1,0,1,0,1,1,1
0,1,0,1,0,1,0,0,0,1
0,1,0,0,0,1,1,0,1,0
1,0,0,0,0,0,1,1,1,1
1,0,1,1,0,0,1,0,1,1
1,0,1,1,1,1,0,1,1,0
1,0,0,0,1,0,1,0,0,1
0,1,0,0,0,1,0,0,0,1
1,0,1,1,0,1,0,1,1,0
1,1,0,0,1,0,0,0,0,0
0,1,1,0,0,1,0,1,0,0
0,0,0,1,1,1,0,0,1,0
0,0,0,1,0,1,0,0,0,0
1,1,0,0,0,1,0,1,0,0
0,1,1,1,0,0,1,1,1,0
0,1,0,1,0,0,1,1,0,1
0,0,0,1,0,1,1,1,1,0
1,1,1,0,0,0,0,0,1,1
0,1,1,1,0,1,0,0,1,0
0,0,1,1,1,1,1,1,1,1
1,0,1,1,1,0,0,0,1,0
0,1,1,0,0,0,1,0,1,1
1,0,0,0,1,1,1,0,0,0
0,0,1,1,0,1,1,1,0,1
1,0,0,1,1,0,1,0,1,0
1,0,1,1,1,0,0,1,1,0
0,1,1,1,1,1,1,1,1,0
0,0,0,0,0,0,0,0,0,1
1,1,1,0,1,0,1,1,0,1
0,0,1,0,1,1,0,0,1,1
0,0,0,0,0,0,1,0,0,1
1,0,1,1,0,1,0,0,1,1
1,1,0,0,1,0,0,1,1,1
0,0,0,0,0,0,0,1,1,1
1,0,0,0,0,1,0,1,1,0
1,0,0,1,1,1,1,0,1,0
1,1,1,1,0,0,1,0,1,1
1,0,0,0,0,1,0,0,0,0
1,1,1,1,0,0,0,1,1,1
0,1,0,1,0,1,1,1,0,0
0,1,1,1,1,0,0,1,0,0
0,1,1,0,0,0,0,0,0,0
1,0,0,0,0,0,1,0,0,1
0,1,0,1,1,0,1,0,0,1
0,0,1,0,1,0,1,1,0,1
1,1,0,0,0,0,0,1,1,1
1,0,0,0,1,0,0,1,0,0
1,1,1,0,0,1,0,1,1,1
0,0,0,1,1,0,0,1,1,1
0,0,0,1,1,0,1,0,0,1
1,0,0,1,0,0,0,1,1,1
1,1,1,0,1,1,0,0,0,0
0,1,1,0,0,0,0,0,1,1
0,1,0,0,0,0,1,0,0,1
0,1,0,1,1,1,0,0,1,0
1,0,0,1,0,1,0,1,1,1
0,1,1,0,0,0,1,0,0,0
1,1,0,0,0,0,1,1,0,1
1,1,0,0,0,1,0,1,1,1
1,0,1,1,1,1,0,1,0,0
0,0,0,1,0,1,0,1,0,0
1,1,1,0,1,0,0,1,0,1
0,1,0,1,1,1,0,0,1,0
1,0,0,0,1,0,1,0,0,1
0,1,0,0,1,0,0,0,1,1
1,0,0,1,1,1,1,0,0,1
0,0,1,1,0,0,1,1,0,1
1,1,1,0,0,0,1,1,0,1
1,0,1,0,1,1,1,1,1,0
0,0,0,1,0,1,1,1,1,0
1,0,1,1,0,1,1,0,0,1
1,1,1,0,0,1,0,0,0,0
0,0,0,1,1,1,0,0,1,1
0,1,1,1,0,1,1,1,1,1
0,0,0,1,1,1,0,0,1,1
1,0,1,0,0,0,1,1,0,1
1,0,1,1,1,0,0,0,1,1
1,0,0,0,1,1,0,0,1,0
0,1,0,1,1,1,0,1,1,0
1,0,1,1,0,1,0,0,0,1
1,1,0,1,0,1,0,0,0,1
1,0,0,0,0,1,1,1,1,0
0,0,0,1,0,0,0,1,1,1
1,0,0,0,0,0,0,1,1,1
1,1,1,0,1,0,1,0,0,1
0,1,1,0,1,1,0,1,1,1
1,1,1,0,1,1,1,0,1,1
1,0,1,0,0,1,1,1,1,1
0,1,1,0,0,1,0,1,0,0
0,1,0,1,0,0,0,1,1,1
1,1,0,0,0,0,0,0,0,1
1,1,1,1,1,1,1,0,1,0
0,0,0,1,0,0,0,1,1,0
1,1,0,1,0,1,1,0,0,1
1,1,1,0,1,1,0,0,1,0
1,0,0,1,1,0,0,1,0,1
1,1,1,0,1,0,1,1,0,1
1,1,0,0,0,0,1,1,0,0
1,1,0,1,0,0,0,0,0,0
1,1,0,0,0,0,1,0,0,1
1,0,0,1,1,0,1,0,0,1
1,1,0,0,1,0,0,0,0,0
0,1,1,0,0,1,0,0,1,1
0,1,1,1,0,0,0,1,0,1
0,0,1,1,1,1,0,1,1,1
1,1,0,1,0,0,1,1,1,0
1,1,1,0,0,1,0,0,0,0
0,0,0,0,1,1,1,1,1,0
0,0,1,1,0,1,1,1,0,0
1,1,1,0,1,0,1,1,0,0
0,1,0,1,0,0,0,1,0,1
1,1,1,1,1,1,1,0,0,1
0,1,0,1,0,1,1,1,1,1
1,1,0,0,1,1,1,0,1,1
0,0,0,0,0,1,1,1,1,0
0,1,0,1,1,1,1,1,1,0
1,0,1,0,0,0,0,0,1,0
1,0,1,0,1,1,1,1,1,0
1,1,0,1,1,1,0,0,0,1
0,1,1,0,1,1,0,1,0,0
0,0,0,1,1,0,0,0,0,1
0,0,1,0,0,0,1,0,1,0
0,1,0,1,1,0,0,1,0,1
1,0,1,0,0,1,1,0,0,0
0,0,0,1,1,1,1,0,0,1
0,1,0,1,1,1,0,0,1,1
1,0,1,0,0,0,1,1,0,1
1,0,0,1,0,1,1,0,1,1
0,0,1,0,0,1,1,0,0,0
1,0,0,0,1,0,0,1,0,0
1,1,0,1,0,1,0,1,0,0
0,1,0,1,1,1,1,1,0,0
1,0,1,1,0,0,0,0,0,0
1,1,1,1,0,0,0,1,1,0
0,1,1,1,1,0,1,0,0,1
1,0,1,0,1,0,0,0,0,0
1,1,0,0,1,0,1,1,0,0
1,0,0,0,1,1,1,1,0,0
0,0,1,0,1,0,0,1,1,0
0,1,1,1,0,1,0,1,1,1
0,1,1,1,0,0,1,0,0,1
0,0,1,0,1,1,0,1,1,0
1,0,0,1,1,0,1,1,1,1
1,0,1,0,0,1,0,0,0,1
1,1,1,1,0,0,0,1,1,0
0,1,0,1,1,1,1,0,1,1
0,0,1,1,1,1,0,1,1,1
0,0,0,1,1,0,0,1,1,0
1,0,1,1,0,1,0,1,1,1
1,1,1,1,0,0,1,1,1,0
1,1,0,0,0,1,0,1,1,1
0,1,0,0,0,1,1,0,1,1
0,0,0,0,0,1,1,0,1,1
0,1,1,1,1,1,0,1,1,1
0,1,0,0,1,0,0,1,1,1
1,1,1,1,1,1,0,0,0,0
1,1,1,1,0,0,1,0,1,0
1,1,1,1,1,0,1,0,0,1
1,1,0,1,0,1,0,1,0,1
0,1,1,1,0,1,1,0,0,0
1,0,0,1,1,1,0,0,1,1
1,1,1,1,1,0,1,0,0,0
0,0,0,1,0,0,0,0,0,1
0,1,0,1,0,0,0,1,1,1
1,1,1,1,0,0,1,0,1,0
1,1,1,0,0,1,1,0,1,1
1,1,1,0,0,1,1,0,0,0
0,0,1,0,1,1,1,1,0,1
1,0,0,1,1,1,0,1,0,0
0,1,1,0,0,1,1,1,0,1
1,0,0,0,0,0,1,0,1,0
0,0,0,1,1,0,1,1,1,1
0,1,0,1,0,0,0,0,1,0
0,1,1,0,1,1,1,0,1,0
0,0,1,1,1,1,0,1,0,1
0,0,1,0,1,0,0,1,0,1
0,0,1,0,1,1,1,1,1,0
1,1,1,0,0,0,0,1,1,1
1,1,1,0,1,0,0,1,0,1
0,1,0,1,0,1,0,1,0,1
0,0,0,1,1,0,1,0,1,0
1,0,1,0,0,1,1,1,1,0
1,0,0,1,0,0,0,0,0,1
1,1,1,0,0,1,1,0,0,0
0,1,0,1,1,1,1,1,0,0
0,0,0,1,0,1,1,1,1,1
0,0,1,0,0,0,1,1,1,1
0,0,1,1,1,1,1,0,1,0
1,0,0,1,1,0,0,0,0,1
0,0,1,0,1,1,1,1,0,1
0,0,1,0,0,0,1,0,1,0
1,0,1,0,0,0,0,1,0,1
1,1,1,0,0,0,1,0,0,0
0,1,1,1,1,0,0,1,0,1
0,1,1,0,1,1,0,1,1,0
0,0,1,0,0,0,1,0,1,1
0,0,0,1,1,0,1,1,1,0
1,0,1,0,1,0,0,1,0,0
1,0,0,1,0,0,1,0,0,1
0,0,0,0,1,1,0,1,0,0
1,0,1,0,0,1,0,1,1,1
0,0,0,1,1,1,1,1,0,0
0,0,0,1,1,0,1,1,1,0
0,0,1,1,1,0,1,0,1,1
1,1,1,1,1,0,1,0,0,1
0,1,1,0,1,1,1,1,1,1
1,1,1,1,0,1,1,0,1,1
1,0,0,0,1,1,1,0,1,0
0,1,0,1,0,0,0,0,1,1
0,1,1,0,0,0,0,1,1,1
1,1,0,0,0,0,1,0,0,1
1,0,1,0,1,0,0,0,1,0
1,1,1,0,0,0,1,1,0,1
1,0,1,0,1,0,1,0,0,0
1,0,0,0,1,1,1,1,1,1
0,0,1,1,0,0,1,1,1,0
0,1,0,0,0,1,0,0,1,0
0,0,0,1,1,0,0,0,0,0
0,0,1,0,1,1,0,0,0,0
1,1,0,1,0,1,0,1,1,0
0,1,0,1,0,0,0,1,1,0
1,0,0,1,0,1,0,0,1,1
1,1,0,1,1,1,1,0,1,0
1,1,1,1,0,1,0,1,1,0
0,0,0,1,0,0,1,1,1,1
0,1,0,0,1,0,0,0,1,0
1,0,0,1,1,0,1,0,0,0
1,1,1,1,0,0,1,0,1,0
1,0,0,0,0,0,1,1,1,0
0,1,0,1,0,0,1,0,0,1
1,0,0,0,0,1,0,1,0,0
1,0,1,1,0,1,0,0,0,0
1,1,1,0,0,1,0,0,1,1
0,0,1,1,0,0,0,0,0,0
1,1,0,0,1,0,1,0,0,0
1,0,0,1,0,0,1,0,0,0
0,1,0,0,1,0,0,1,0,1
1,1,1,1,1,1,1,1,1,1
1,0,0,0,1,0,0,1,1,0
1,0,1,0,0,0,0,1,0,1
1,0,0,0,1,0,0,1,0,1
0,1,0,0,1,1,0,1,0,1
1,1,0,1,1,0,0,1,0,0
0,0,0,1,0,1,0,0,0,0
1,0,0,1,1,0,1,1,0,1
1,1,0,1,1,1,0,1,1,0
1,1,0,1,1,0,1,0,0,0
1,1,1,1,1,1,1,0,0,1
0,0,1,1,1,1,0,0,1,0
1,0,0,0,0,1,0,0,1,1
1,1,1,1,1,1,1,1,0,1
1,1,1,1,1,1,1,1,1,1
1,0,1,0,0,1,0,1,0,0
